bl_part_id,boid,bk_part_id,item_type,brikick_name,api_item_type,bk_part_key,bl_color_id,bo_color_id,bk_color_id,weight,bk_img_url
64683pb050,,,P,,,,0,,0,3.26,
64683pb051,,,P,,,,0,,0,3.2,
64683pb052,,,P,,,,0,,0,3.2,
64683pb053,,,P,,,,0,,0,3.2,
64683pb054,,,P,,,,0,,0,3.2,
64683pb055,,,P,,,,0,,0,3.3,
64683pb056,,,P,,,,0,,0,3.3,
64683pb057,,,P,,,,0,,0,3.3,
64683pb058,,,P,,,,0,,0,3.3,
64683pb059,,,P,,,,0,,0,3.3,
64683pb060,,,P,,,,0,,0,3.3,
64683pb061,,,P,,,,0,,0,3.3,
64683pb062,,,P,,,,0,,0,3.2,
64683pb063,,,P,,,,0,,0,3.2,
64683pb064,,,P,,,,0,,0,3.2,
64683pb065,,,P,,,,0,,0,3.2,
64683pb066,,,P,,,,0,,0,3.2,
64683pb067,,,P,,,,0,,0,3.2,
64683pb068,,,P,,,,0,,0,3.2,
64683pb069,,,P,,,,0,,0,3.2,
64683pb070,,,P,,,,0,,0,3.2,
64683pb071,,,P,,,,0,,0,3.2,
64683pb072,,,P,,,,0,,0,3.2,
64683pb073,,,P,,,,0,,0,3.2,
64683pb074,,,P,,,,0,,0,3.3,
64683pb075,,,P,,,,0,,0,3.2,
64683pb076,,,P,,,,0,,0,3.2,
64683pb077,,,P,,,,0,,0,3.2,
64683pb078,,,P,,,,0,,0,3.2,
64683pb079,,,P,,,,0,,0,3.2,
64683pb080,,,P,,,,0,,0,3.3,
64683pb081,,,P,,,,0,,0,3.2,
64683pb082,,,P,,,,0,,0,3.2,
64683pb083,,,P,,,,0,,0,3.2,
64683pb084,,,P,,,,0,,0,3.2,
64683pb085,,,P,,,,0,,0,3.2,
64683pb086,,,P,,,,0,,0,3.2,
64683pb087,,,P,,,,0,,0,3.2,
64683pb088,,,P,,,,0,,0,3.2,
6469,533549-81,,P,,,,5,81,116,4.0,
6469,533549-39,,P,,,,7,39,6,4.0,
6469,533549-70,,P,,,,34,70,73,4.0,
6469,533549-10,,P,,,,37,10,82,4.0,
64699,73855-50,,P,,,,85,50,25,103.0,
64699pb01,,,P,,,,0,,0,103.0,
64699pb02,,,P,,,,0,,0,103.0,
64699pb03,,,P,,,,0,,0,103.0,
64699pb04,,,P,,,,0,,0,103.0,
