bl_part_id,bl_color_id,boid
78c31,15,876818
90,86,771227
90,9,771227
91,86,173953
91,9,173953
104,22,146789
122c01assy2,11,
140.1stk01,0,
140.1stk02,0,
194,11,811697
194,6,811697
194,86,811697
194,9,811697
194,3,811697
194cx1a,11,248936
194cx1a,9,248936
194cx1b,6,914030
194cx2,3,311522
251,11,929254
251,6,929254
251,5,929254
251c01,11,
251c01,5,
313,5,511907
314,11,261631
314,7,261631
314,9,261631
314,5,261631
314,3,261631
353,6,775637
353,5,775637
379.1stk01,0,
388c01,7,777135
388c01,85,777135
388c01,47,777135
388c01,6,777135
388c01,34,777135
388c01,156,777135
388c01,4,777135
388c01,5,777135
388c01,3,777135
3957b,11,737117
3957b,7,737117
3957b,68,737117
3957b,89,737117
3957b,86,737117
3957b,67,737117
3957b,115,737117
3957b,5,737117
3957b,88,737117
3957b,2,737117
3957b,13,737117
3957b,12,737117
3957b,15,737117
3957b,16,737117
3957b,1,737117
3957b,3,737117
412,10,892555
412,20,892555
412,16,892555
412,18,892555
424,11,173114
424,7,173114
424,8,173114
424,85,173114
424,89,173114
424,59,173114
424,39,173114
424,86,173114
424,9,173114
424,4,173114
424,24,173114
424,5,173114
424,48,173114
424,2,173114
424,1,173114
424,3,173114
425p01,9,772962
471,7,714129
471,6,714129
471,5,714129
471,1,714129
471p01,1,370932
476,11,915901
476,85,915901
476,10,915901
476,5,915901
476,88,915901
476,1,915901
518,10,941195
522,11,411487
522,7,411487
522,36,411487
522,8,411487
522,63,411487
522,85,411487
522,120,411487
522,80,411487
522,89,411487
522,59,411487
522,6,411487
522,86,411487
522,93,411487
522,245,411487
522,73,411487
522,155,411487
522,24,411487
522,5,411487
522,88,411487
522,48,411487
522,58,411487
522,1,411487
522,3,411487
522c,11,411487
522c,36,411487
522c,110,411487
522c,103,411487
522c,63,411487
522c,85,411487
522c,120,411487
522c,80,411487
522c,59,411487
522c,6,411487
522c,155,411487
522c,5,411487
522c,88,411487
522c,1,411487
522cpb01,0,
522cpb02,0,
522cpb03,0,
522cpb04,3,1407745
522cpb05,0,
522cpb06,0,
522pb001,0,
522pb002,0,
522pb003,0,
522pb004,0,
522pb005,0,
522pb006,153,830437
522pb006,1,830437
522pb007,89,694061
522pb009,1,275499
522pb010,0,
522px1,11,217341
522px2,1,593392
522px3,0,
551,13,385047
551,12,385047
551,14,385047
551,20,385047
551,15,385047
551,16,385047
551ps1,13,243656
553,11,76316
553,7,76316
553,36,76316
553,105,76316
553,103,76316
553,104,76316
553,84,76316
553,85,76316
553,80,76316
553,47,76316
553,89,76316
553,59,76316
553,69,76316
553,39,76316
553,95,76316
553,6,76316
553,86,76316
553,9,76316
553,90,76316
553,34,76316
553,71,76316
553,156,76316
553,150,76316
553,4,76316
553,115,76316
553,66,76316
553,5,76316
553,88,76316
553,167,76316
553,48,76316
553,224,76316
553,2,76316
553,108,76316
553,13,76316
553,12,76316
553,20,76316
553,15,76316
553,16,76316
553,19,76316
553,1,76316
553,3,76316
553,158,76316
553a,11,906875
553a,9,906875
553a,4,906875
553a,5,906875
553a,2,906875
553a,1,906875
553a,3,906875
553pb001,84,401878
553pb002,1,277851
553pb003,11,743137
553pb004,86,345699
553pb005,1,581010
553pb006,95,100798
553pb006,66,100798
553pb007,80,970907
553pb008,1,20773
553pb009,63,635916
553pb010,95,193230
553pb011,5,45305
553pb012,1,128886
553pb013,5,608576
553pb014,95,909760
553pb015,1,193274
553pb016,59,937308
553pb017a,95,530456
553pb017b,95,429769
553pb018,1,437054
553pb019,85,533575
553pb020,95,737989
553pb021,1,605718
553pb022,12,723073
553pb023,59,738832
553pb024,13,834460
553pb025,13,623985
553pb026,13,307828
553pb027,13,323071
553pb028,12,443121
553pb029,5,57522
553pb030,95,742372
553pb031,95,629520
553pb032,95,137519
553pb033,1,413687
553pb034,5,476764
553pb035,104,761729
553pb036,1,90721
553pb037,95,188505
553pb038,16,941761
553pb039,34,561202
553pb040,90,570743
553pb041,71,1286580
553pb042,95,258803
553pb043,16,116310
553pb044,59,1240410
553pb045,95,1432529
553pb046,11,302752
553pb047,1,581648
553pb048,89,386494
553pb049,3,679002
553pb050,34,1026219
553pb051,89,164470
553pb052,156,676529
553pb053,1,995534
553pb054,47,967644
553pb055,1,1066137
553pb056,1,227167
553pb057,80,964761
553pb058,69,1333741
553pb059,1,1521032
553pb060,12,1191365
553px1,1,573641
553px1a,1,629572
553px2,1,558287
553px3,85,173149
553px4,59,866445
553px5,11,135660
590,11,610655
600,1,59373
600,3,59373
601,1,512540
608p02,11,938539
611p01,6,196229
612p01,6,258585
612p01,9,258585
613p01,6,121961
649pb12,1,803420
680c01,11,806874
731c01,86,665002
731c04,5,210524
731c04,1,210524
731c04,3,210524
731c05,9,254066
731c06,7,969471
731c06,10,969471
731c06,39,969471
731c06,86,969471
731c06,5,969471
731c07,11,668933
731c07,5,668933
731c07,3,668933
731c08,86,981359
731c09,11,981359
731c10,88,140030
739p01,1,394548
765c190a,9,
766c28,9,639012
766c96,9,217891
787c01,7,
787c01,3,
787c02,5,
879,86,950317
879,9,950317
879c02,15,679522
879c03,15,420009
879c04,15,807846
890,11,184338
890,1,184338
890px1,1,366324
892,8,21241
892,80,21241
892,59,21241
892,86,21241
892,9,21241
892,67,21241
892,88,21241
892,1,21241
892,3,21241
892pb002,1,473040
892pb003,1,461595
892pb004,1,753566
892pb005,1,84234
892pb006,3,319892
892pb008,1,622118
892pb009,1,185896
892pb009,3,185896
892pb010,3,460387
892pb011,1,719729
970,11,113095
970,7,113095
970,36,113095
970,105,113095
970,110,113095
970,8,113095
970,153,113095
970,63,113095
970,85,113095
970,120,113095
970,10,113095
970,80,113095
970,68,113095
970,47,113095
970,89,113095
970,59,113095
970,69,113095
970,95,113095
970,6,113095
970,86,113095
970,9,113095
970,93,113095
970,34,113095
970,156,113095
970,42,113095
970,157,113095
970,150,113095
970,31,113095
970,155,113095
970,4,113095
970,115,113095
970,61,113095
970,23,113095
970,24,113095
970,5,113095
970,88,113095
970,97,113095
970,55,113095
970,48,113095
970,54,113095
970,58,113095
970,2,113095
970,43,113095
970,1,113095
970,3,113095
970c00,11,863328
970c00,7,863328
970c00,36,863328
970c00,105,863328
970c00,110,863328
970c00,103,863328
970c00,104,863328
970c00,8,863328
970c00,21,863328
970c00,22,863328
970c00,220,863328
970c00,153,863328
970c00,63,863328
970c00,85,863328
970c00,120,863328
970c00,10,863328
970c00,80,863328
970c00,68,863328
970c00,47,863328
970c00,89,863328
970c00,59,863328
970c00,69,863328
970c00,39,863328
970c00,95,863328
970c00,6,863328
970c00,152,863328
970c00,86,863328
970c00,9,863328
970c00,34,863328
970c00,71,863328
970c00,156,863328
970c00,42,863328
